N,x_max,weight_core,weight_osc,form,alpha,normalization,error
64,8.0,0.4915254237288136,0.01694915254237288,inverse,3.0,none,28.119009271540016
64,8.0,0.4915254237288136,0.01694915254237288,inverse,3.0,by_max_eig,30.649181430691915
64,8.0,0.4915254237288136,0.01694915254237288,inverse,3.0,by_trace,30.669297381208295
64,8.0,0.4915254237288136,0.01694915254237288,inverse,3.0,scale_first_to_zero1,22.588211578013624
64,8.0,0.4915254237288136,0.01694915254237288,log,0.5,none,28.409781699170864
64,8.0,0.4915254237288136,0.01694915254237288,log,0.5,by_max_eig,30.651526973932192
64,8.0,0.4915254237288136,0.01694915254237288,log,0.5,by_trace,30.669367963503166
64,8.0,0.4915254237288136,0.01694915254237288,log,0.5,scale_first_to_zero1,54.482810181975
64,8.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,none,28.23633842801946
64,8.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,by_max_eig,30.65013643393507
64,8.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,by_trace,30.66932571660087
64,8.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,scale_first_to_zero1,30.959591319878147
64,8.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,none,28.063197198188114
64,8.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,by_max_eig,30.648751586394937
64,8.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,by_trace,30.669283785568673
64,8.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,scale_first_to_zero1,19.409390446898875
64,8.0,0.4915254237288136,0.01694915254237288,log,3.0,none,27.890358756826387
64,8.0,0.4915254237288136,0.01694915254237288,log,3.0,by_max_eig,30.647372454399623
64,8.0,0.4915254237288136,0.01694915254237288,log,3.0,by_trace,30.669242167914124
64,8.0,0.4915254237288136,0.01694915254237288,log,3.0,scale_first_to_zero1,12.791278071556833
64,15.0,1.0,0.0,quadratic,0.5,none,29.584370212547608
64,15.0,1.0,0.0,quadratic,0.5,by_max_eig,30.654572446980637
64,15.0,1.0,0.0,quadratic,0.5,by_trace,30.669461951221336
64,15.0,1.0,0.0,quadratic,0.5,scale_first_to_zero1,245.28865268690993
64,15.0,1.0,0.0,quadratic,1.3333333333333335,none,29.519299572687224
64,15.0,1.0,0.0,quadratic,1.3333333333333335,by_max_eig,30.653671086049854
64,15.0,1.0,0.0,quadratic,1.3333333333333335,by_trace,30.66943447918085
64,15.0,1.0,0.0,quadratic,1.3333333333333335,scale_first_to_zero1,190.23356456542095
64,15.0,1.0,0.0,quadratic,2.166666666666667,none,29.46045772180862
64,15.0,1.0,0.0,quadratic,2.166666666666667,by_max_eig,30.65288810433816
64,15.0,1.0,0.0,quadratic,2.166666666666667,by_trace,30.6694098807799
64,15.0,1.0,0.0,quadratic,2.166666666666667,scale_first_to_zero1,162.79484216812418
64,15.0,1.0,0.0,quadratic,3.0,none,29.40728709504983
64,15.0,1.0,0.0,quadratic,3.0,by_max_eig,30.652213582776753
64,15.0,1.0,0.0,quadratic,3.0,by_trace,30.66938789025071
64,15.0,1.0,0.0,quadratic,3.0,scale_first_to_zero1,145.290292821487
64,15.0,1.0,0.0,exponential,0.5,none,29.600250035113046
64,15.0,1.0,0.0,exponential,0.5,by_max_eig,30.654794320585932
64,15.0,1.0,0.0,exponential,0.5,by_trace,30.669468744387533
64,15.0,1.0,0.0,exponential,0.5,scale_first_to_zero1,298.31708272797346
64,15.0,1.0,0.0,exponential,1.3333333333333335,none,29.559736515254293
64,15.0,1.0,0.0,exponential,1.3333333333333335,by_max_eig,30.654227603676695
64,15.0,1.0,0.0,exponential,1.3333333333333335,by_trace,30.66945168698799
64,15.0,1.0,0.0,exponential,1.3333333333333335,scale_first_to_zero1,276.79578946141834
64,15.0,1.0,0.0,exponential,2.166666666666667,none,29.52316388825607
64,15.0,1.0,0.0,exponential,2.166666666666667,by_max_eig,30.653732231790315
64,15.0,1.0,0.0,exponential,2.166666666666667,by_trace,30.669436423380205
64,15.0,1.0,0.0,exponential,2.166666666666667,scale_first_to_zero1,266.85910786750895
64,15.0,1.0,0.0,exponential,3.0,none,29.490253749111897
64,15.0,1.0,0.0,exponential,3.0,by_max_eig,30.653308769318567
64,15.0,1.0,0.0,exponential,3.0,by_trace,30.66942282196949
64,15.0,1.0,0.0,exponential,3.0,scale_first_to_zero1,261.39231634932025
64,15.0,1.0,0.0,inverse,0.5,none,29.539699558991693
64,15.0,1.0,0.0,inverse,0.5,by_max_eig,30.65395247281035
64,15.0,1.0,0.0,inverse,0.5,by_trace,30.6694428148093
64,15.0,1.0,0.0,inverse,0.5,scale_first_to_zero1,123.1403148947463
64,15.0,1.0,0.0,inverse,1.3333333333333335,none,29.398153250841794
64,15.0,1.0,0.0,inverse,1.3333333333333335,by_max_eig,30.651995789792338
64,15.0,1.0,0.0,inverse,1.3333333333333335,by_trace,30.66938287312243
64,15.0,1.0,0.0,inverse,1.3333333333333335,scale_first_to_zero1,61.821162067348155
64,15.0,1.0,0.0,inverse,2.166666666666667,none,29.26052476949754
64,15.0,1.0,0.0,inverse,2.166666666666667,by_max_eig,30.650122709164826
64,15.0,1.0,0.0,inverse,2.166666666666667,by_trace,30.66932517527979
64,15.0,1.0,0.0,inverse,2.166666666666667,scale_first_to_zero1,41.30498018518167
64,15.0,1.0,0.0,inverse,3.0,none,29.126713976376443
64,15.0,1.0,0.0,inverse,3.0,by_max_eig,30.648330741525406
64,15.0,1.0,0.0,inverse,3.0,by_trace,30.669269648011195
64,15.0,1.0,0.0,inverse,3.0,scale_first_to_zero1,30.774962314881275
64,15.0,1.0,0.0,log,0.5,none,29.449835838898323
64,15.0,1.0,0.0,log,0.5,by_max_eig,30.652703851754794
64,15.0,1.0,0.0,log,0.5,by_trace,30.669404492077987
64,15.0,1.0,0.0,log,0.5,scale_first_to_zero1,54.49302272575091
64,15.0,1.0,0.0,log,1.3333333333333335,none,29.156833824409063
64,15.0,1.0,0.0,log,1.3333333333333335,by_max_eig,30.64865666651476
64,15.0,1.0,0.0,log,1.3333333333333335,by_trace,30.669281197721226
64,15.0,1.0,0.0,log,1.3333333333333335,scale_first_to_zero1,16.22314262077839
64,15.0,1.0,0.0,log,2.166666666666667,none,28.86568596912291
64,15.0,1.0,0.0,log,2.166666666666667,by_max_eig,30.644682207675533
64,15.0,1.0,0.0,log,2.166666666666667,by_trace,30.669160775111436
64,15.0,1.0,0.0,log,2.166666666666667,scale_first_to_zero1,7.080864215304787
64,15.0,1.0,0.0,log,3.0,none,28.57637425489905
64,15.0,1.0,0.0,log,3.0,by_max_eig,30.640782184766614
64,15.0,1.0,0.0,log,3.0,by_trace,30.669043144814317
64,15.0,1.0,0.0,log,3.0,scale_first_to_zero1,3.869847460726226
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,none,29.14118530172039
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,by_max_eig,30.62920667395148
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,by_trace,30.668662111451262
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,scale_first_to_zero1,40.438410453571294
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,none,29.089403917206916
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,by_max_eig,30.62782940414866
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,by_trace,30.668621848342514
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,scale_first_to_zero1,29.179003136053485
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,none,29.040350390684452
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,by_max_eig,30.626524973648973
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,by_trace,30.66858404367895
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,scale_first_to_zero1,22.88871634874726
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,none,28.99408470416273
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,by_max_eig,30.625294967584914
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,by_trace,30.668548730278843
64,15.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,scale_first_to_zero1,18.86753218063686
64,15.0,0.4915254237288136,0.01694915254237288,exponential,0.5,none,29.152064139483855
64,15.0,0.4915254237288136,0.01694915254237288,exponential,0.5,by_max_eig,30.629495119665876
64,15.0,0.4915254237288136,0.01694915254237288,exponential,0.5,by_trace,30.668670664281386
64,15.0,0.4915254237288136,0.01694915254237288,exponential,0.5,scale_first_to_zero1,43.874182306716065
64,15.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,none,29.117727870620907
64,15.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,by_max_eig,30.628580175852935
64,15.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,by_trace,30.668643999304535
64,15.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,scale_first_to_zero1,34.868080959846864
64,15.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,none,29.08519515019635
64,15.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,by_max_eig,30.62771329049002
64,15.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,by_trace,30.668618924596174
64,15.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,scale_first_to_zero1,29.447581174812235
64,15.0,0.4915254237288136,0.01694915254237288,exponential,3.0,none,29.05446360206351
64,15.0,0.4915254237288136,0.01694915254237288,exponential,3.0,by_max_eig,30.626894400258372
64,15.0,0.4915254237288136,0.01694915254237288,exponential,3.0,by_trace,30.668595430564206
64,15.0,0.4915254237288136,0.01694915254237288,exponential,3.0,scale_first_to_zero1,25.88283284590261
64,15.0,0.4915254237288136,0.01694915254237288,inverse,0.5,none,29.118710061146114
64,15.0,0.4915254237288136,0.01694915254237288,inverse,0.5,by_max_eig,30.628624875369
64,15.0,0.4915254237288136,0.01694915254237288,inverse,0.5,by_trace,30.668644737156846
64,15.0,0.4915254237288136,0.01694915254237288,inverse,0.5,scale_first_to_zero1,35.28942108447828
64,15.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,none,29.02871639652607
64,15.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,by_max_eig,30.62626056422943
64,15.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,by_trace,30.66857519970338
64,15.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,scale_first_to_zero1,20.293808435297056
64,15.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,none,28.94044959609191
64,15.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,by_max_eig,30.623945713203586
64,15.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,by_trace,30.6685076678419
64,15.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,scale_first_to_zero1,12.290769096337765
64,15.0,0.4915254237288136,0.01694915254237288,inverse,3.0,none,28.853923118047337
64,15.0,0.4915254237288136,0.01694915254237288,inverse,3.0,by_max_eig,30.62168057031639
64,15.0,0.4915254237288136,0.01694915254237288,inverse,3.0,by_trace,30.668442127949586
64,15.0,0.4915254237288136,0.01694915254237288,inverse,3.0,scale_first_to_zero1,7.450753511477716
64,15.0,0.4915254237288136,0.01694915254237288,log,0.5,none,29.07778092909558
64,15.0,0.4915254237288136,0.01694915254237288,log,0.5,by_max_eig,30.627590913006223
64,15.0,0.4915254237288136,0.01694915254237288,log,0.5,by_trace,30.66861355923148
64,15.0,0.4915254237288136,0.01694915254237288,log,0.5,scale_first_to_zero1,30.626403657402506
64,15.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,none,28.91884632794271
64,15.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,by_max_eig,30.62350053208673
64,15.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,by_trace,30.668492533405665
64,15.0,0.4915254237288136,0.01694915254237288,log,1.3333333333333335,scale_first_to_zero1,14.14821204728946
64,15.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,none,28.76072155229228
64,15.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,by_max_eig,30.61945559597224
64,15.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,by_trace,30.66837406701535
64,15.0,0.4915254237288136,0.01694915254237288,log,2.166666666666667,scale_first_to_zero1,6.30726775093726
64,15.0,0.4915254237288136,0.01694915254237288,log,3.0,none,28.60341218273875
64,15.0,0.4915254237288136,0.01694915254237288,log,3.0,by_max_eig,30.615455854515297
64,15.0,0.4915254237288136,0.01694915254237288,log,3.0,by_trace,30.66825810497169
